time,lat,lon,depth,east_shift,north_shift,distance_border,semblance,azimuthal_coverage,n_stations,n_picks,uncertainty_horizontal,uncertainty_vertical,WKT_geom
2024-06-01 00:01:50.500000+00:00,50.020712,11.970799,15.4,-27091.56,-22090.94,10906.25,0.1515282541513443,104.53775597904439,23,2,1356.7683341307757,593.75,POINT Z(11.9707988434025 50.02071243934834 -15.396360154117575)
2024-06-01 00:27:23.110000+00:00,49.951805,12.060339,13023.25,-20724.2,-29781.72,6968.75,0.1563289314508438,51.887083803050245,26,3,1001.9512213675873,875.0,POINT Z(12.060339084002932 49.95180495484251 -13023.246670006767)
2024-06-01 00:59:49.550000+00:00,49.851796,12.005051,1665.07,-24731.14,-40885.26,9093.75,0.10430464893579483,0.0,26,1,1471.0752869924775,2500.0,POINT Z(12.0050509223307 49.85179644076697 -1665.0659423095976)
2024-06-01 01:13:57.730000+00:00,49.933324,12.073641,13723.36,-19780.07,-31840.29,6281.25,0.13281221687793732,102.31442875814969,26,2,1231.107225224513,937.5,POINT Z(12.073641394782703 49.93332417325802 -13723.3616742856)
2024-06-01 01:32:09.010000+00:00,50.547749,12.504306,883.46,10902.85,36455.33,13531.25,0.1383129060268402,0.0,26,2,197.64235376052372,2750.0,POINT Z(12.50430563522299 50.54774903526107 -883.4591668992296)
2024-06-01 02:26:48.390000+00:00,50.264333,12.30096,489.58,-3485.81,4930.8,19468.75,0.15597787499427795,175.8068970843937,26,4,760.98722886787,1562.5,POINT Z(12.300960024180059 50.26433341580604 -489.5833333333333)
2024-06-01 03:28:54.870000+00:00,49.864017,12.147083,2192.37,-14544.5,-39563.76,10406.25,0.14762769639492035,0.0,26,1,1337.5584099395435,4750.0,POINT Z(12.147082963793746 49.864016823362704 -2192.371278496123)
2024-06-01 03:48:00.360000+00:00,49.839215,11.979675,11594.08,-26557.36,-42275.5,7718.75,0.1667606234550476,0.0,26,1,1383.849364092783,1781.25,POINT Z(11.9796752339563 49.839215247621276 -11594.078871729409)
2024-06-01 04:02:21.600000+00:00,49.809911,12.185019,289.18,-11838.64,-45586.78,4406.25,0.1307872086763382,0.0,25,1,1257.7882373436316,1687.5,POINT Z(12.18501875421789 49.80991068613717 -289.1781561870532)
2024-06-01 04:09:39.350000+00:00,49.958059,12.051075,881.76,-21384.25,-29083.73,16593.75,0.14302513003349304,0.0,25,2,132.58252147247765,1968.75,POINT Z(12.051074758507646 49.958058724184355 -881.7587321274741)
2024-06-01 04:15:48.010000+00:00,49.824444,12.168278,2240.66,-13036.02,-43967.96,6031.25,0.21386060118675232,0.0,26,2,1112.7808634228036,4937.5,POINT Z(12.168277515173239 49.824443993811066 -2240.6636565469307)
2024-06-01 04:24:45.750000+00:00,50.607643,12.687513,1930.89,23817.51,43157.98,6843.75,0.13119074702262878,113.24396004598555,26,2,3781.7664936508177,4500.0,POINT Z(12.687513172767048 50.60764327392419 -1930.8874242786078)
2024-06-01 04:36:31.820000+00:00,49.827282,11.913444,2614.58,-31314.75,-43576.75,6406.25,0.1740226298570633,42.62842815002347,26,3,565.9615711335886,3500.0,POINT Z(11.913443832497592 49.82728189780436 -2614.5833333333335)
2024-06-01 04:48:30.150000+00:00,49.821196,12.169861,7489.58,-12923.26,-44329.36,5656.25,0.14033932983875275,158.53989366723042,26,3,2664.8757006659803,2500.0,POINT Z(12.169861493361783 49.821196343620706 -7489.583333333333)
2024-06-01 04:58:32.610000+00:00,50.24556,12.322344,101.7,-1966.6,2842.47,19906.25,0.2785707712173462,1.427006442993445,26,3,438.6146514880687,156.25,POINT Z(12.322343808086671 50.24555963967713 -101.69906869715899)
2024-06-01 05:09:14.630000+00:00,49.794957,11.910626,154.79,-31537.97,-47169.87,2843.75,0.17963409423828125,50.413661888515776,25,2,18792.140145550213,1718.75,POINT Z(11.910626112470863 49.79495717085313 -154.78587157672348)
2024-06-01 05:09:43.060000+00:00,49.826539,12.167113,1322.92,-13118.96,-43734.86,6281.25,0.1991174966096878,11.591118946579229,25,4,850.0919067959652,2125.0,POINT Z(12.167113366652266 49.826538540905176 -1322.9166666666665)
2024-06-01 05:23:14.240000+00:00,49.873797,12.134897,219.64,-15414.84,-38473.86,11531.25,0.18025913834571838,0.0,26,2,407.45015032516557,2968.75,POINT Z(12.134896784786465 49.873796574870674 -219.6358386265414)
2024-06-01 05:32:48.720000+00:00,49.84434,11.909046,6416.83,-31619.03,-41678.2,6343.75,0.18466266989707947,29.710882758613366,26,3,332.19205664795777,2500.0,POINT Z(11.90904601950195 49.84433956864425 -6416.825639412165)
2024-06-01 05:36:38.910000+00:00,50.009538,12.069396,-10.42,-20052.08,-23364.58,17906.25,0.19801409542560577,0.0,26,2,11816.632874892915,13468.75,POINT Z(12.069396390232276 50.009538237441824 10.416666666666664)
2024-06-01 05:37:34.740000+00:00,49.884124,11.97179,11777.29,-27097.63,-37279.08,8218.75,0.1933143436908722,114.90367819125353,26,4,10763.118812059078,12500.0,POINT Z(11.971789531099963 49.88412405352497 -11777.293176245306)
